customernumber, customername, starttime, endtime, beginfootprint, afterfootprint, deltaptcount, %EGMchange, preUtilization, adjpreUtilization, postUtilization, adjpostUtilization, preTheoWPUPD, adjpreTheoWPUPD, postTheoWPUPD, adjpostTheoWPUPD, preActualWPUPD, adjpreActualWPUPD, postActualWPUPD, adjpostActualWPUPD, %TheoWchange, adj%TheoWchange, %ActualWchange, adj%ActualWchange, DFtheo, adjDFtheo, DFactual, adjDFactual
CHER002, Cherokee - Hard Rock Casino - Tulsa, 2016-3, 2016-4, 895, 926, 31, 0.034636871508379886, 0.2395138888888889, 0.27060545584171813, 0.22395833333333334, 0.3221258286058928, 315.1784012863044, 263.03661660844534, 302.4912580566295, 281.8907723612851, 312.7920725523061, 261.45126307751957, 296.86620882112715, 276.3916394933297, -0.04025384727473778, 0.07167882554125886, -0.050915176977561545, 0.05714402080123191, -1.1621675261577522, 2.0694370599815057, -1.4699704320941156, 1.6498031811968568
CHER004, Cherokee Casino - Roland, 2013-11, 2013-11, 199, 252, 53, 0.2663316582914573, 0.2715972222222222, 0.2853289113882536, 0.25756944444444446, 0.2768799161438116, 302.83817484030175, 284.0495088317952, 304.3524780524722, 270.1119669994654, 299.0816359040206, 282.868333591967, 298.4791476159031, 266.20376373835205, 0.0050003709504886, -0.04906729777372431, -0.00201446098920899, -0.05891281516740327, 0.018774977719759084, -0.18423381616926676, -0.007563730884011114, -0.22120094751534436
CHEY002, Cheyenne-Arapaho - Lucky Star Casino - Clinton, 2014-1, 2014-1, 427, 467, 40, 0.0936768149882904, 0.11861111111111111, 0.11816404396886812, 0.10506944444444444, 0.11101028884728467, 158.15104289529995, 140.51546140504092, 148.1494832288562, 128.14409802597737, 152.79380022890697, 133.18304980866364, 139.2740509282211, 121.37151613944022, -0.06324055462008574, -0.08804271967910099, -0.08848362486194698, -0.08868646337647597, -0.6750929205694152, -0.939856032574403, -0.944562695401284, -0.9467279965438808
CHIC003, Chickasaw Nation - New Castle Casino, 2015-9, 2015-9, 389, 467, 78, 0.20051413881748073, 0.20631944444444444, 0.22148702442542237, 0.19069444444444444, 0.20719030714492345, 357.9872772259704, 299.38620007514453, 340.97610945952624, 262.679044992549, 346.7684011740487, 290.844238139459, 342.0777800296336, 267.2960321204251, -0.047518917147735054, -0.12260803962701758, -0.0135266683138779, -0.0809650078326207, -0.23698536885216584, -0.6114683001911517, -0.0674599227448526, -0.40378702624217244
CHIC013, Chickasaw Nation - Riverwind Casino, 2014-6, 2014-6, 492, 536, 44, 0.08943089430894309, 0.15930555555555556, 0.16435037746500586, 0.1545138888888889, 0.16612649615551153, 213.58603841215668, 189.81587815765872, 230.00653940347217, 197.4683891160035, 217.051468118533, 193.89444469063574, 229.4281452583684, 198.49005554561617, 0.07688002976874768, 0.04031544164070772, 0.05702185406585887, 0.02370161178321982, 0.8596585146869059, 0.45079993834609544, 0.6376080045546038, 0.26502711357600345
CHIC015, Chickasaw Nation - Border Casino, 2014-9, 2014-9, 123, 163, 40, 0.3252032520325203, 0.28673611111111114, 0.30888643494959733, 0.26430555555555557, 0.28449998207628335, 386.26321644568173, 348.78753414415814, 401.3131314913803, 335.67553785987013, 393.64543139539904, 360.87343533570714, 407.67833539941495, 339.59201164476616, 0.038962848143255645, -0.03759307601535054, 0.0356485885134546, -0.05897198742585102, 0.11981075804051111, -0.11559870874720292, 0.1096194096788729, -0.1813388613344919
CHOC008, Choctaw - Pocola, 2015-8, 2015-8, 455, 481, 26, 0.05714285714285714, 0.29131944444444446, 0.31305938408440487, 0.25458333333333333, 0.2859403254871208, 333.3491902326713, 280.75916991771817, 302.89185099977027, 242.03395118492995, 334.4107114671984, 283.1389475098047, 299.24264474418305, 238.97475749670178, -0.09136767127480458, -0.137930379065223, -0.10516429503324952, -0.15598062506597962, -1.5989342473090802, -2.4137816336414026, -1.8403751630818665, -2.7296609386546433
CHOC008, Choctaw - Pocola, 2015-10, 2015-11, 481, 544, 63, 0.13097713097713098, 0.28833333333333333, 0.3060546085037742, 0.25729166666666664, 0.28128619608961125, 332.7195656396483, 274.07205232558005, 307.56870496480536, 237.8186831594475, 335.90079270526775, 279.0334374879741, 297.3493682053617, 228.99364997865558, -0.07559176938239501, -0.13227678217648356, -0.11477026948767143, -0.17933258450960787, -0.5771371598878094, -1.0099227337601364, -0.8762618987868246, -1.3691900499860536
CHOC012, Choctaw - Durant Casino Resort, 2014-1, 2014-1, 752, 961, 209, 0.2779255319148936, 0.21625, 0.2238317044296718, 0.23368055555555556, 0.2474317048228747, 278.82232496594213, 255.81282043624626, 337.95940408638603, 293.23781827800946, 276.8391061659027, 253.31220243831632, 335.54950559920053, 292.1026735741728, 0.21209592570346522, 0.14629836682126052, 0.2120740824748732, 0.15313305384608264, 0.7631394073158174, 0.5263941236822388, 0.7630608134981084, 0.5509859162308811
CHOC012, Choctaw - Durant Casino Resort, 2015-6, 2015-7, 951, 1004, 53, 0.05573080967402734, 0.23791666666666667, 0.2566121859033853, 0.21694444444444444, 0.24994330057002945, 358.52248194456536, 308.503328513026, 352.5726623208064, 289.8625108025006, 349.26713185439866, 300.76900813754315, 346.4908200889667, 285.50809066866276, -0.016595387802427766, -0.060423392513699735, -0.007948963736414039, -0.050739660855953286, -0.29777761886997745, -1.084200873217518, -0.1426314059118821, -0.9104418391322938
CHOC012, Choctaw - Durant Casino Resort, 2015-9, 2015-9, 1004, 1078, 74, 0.07370517928286853, 0.235, 0.25271873053062877, 0.2154861111111111, 0.2363980723447167, 362.80098016234297, 303.4316236618939, 351.4485974609412, 272.75451461490985, 355.89669738521565, 298.40155257337835, 344.8794038640564, 268.2850494194133, -0.03129093724146477, -0.10110056650247763, -0.03095643652246178, -0.10092609403082525, -0.42454190527608954, -1.3716887671417235, -0.42000354416961655, -1.3693216000938992
CHOC012, Choctaw - Durant Casino Resort, 2015-11, 2015-11, 1078, 1147, 69, 0.0640074211502783, 0.2311111111111111, 0.25382467775708545, 0.21840277777777778, 0.23942637535806702, 362.33287521427746, 303.11946660779176, 355.96894600685965, 275.2233521733536, 352.1536837826633, 295.9114449427826, 353.83394839004336, 273.66931020135434, -0.017563764269676863, -0.09203009871528026, 0.004771395798934993, -0.07516483435011789, -0.2744019983001689, -1.4378035712329291, 0.07454441552539018, -1.1743143685424215
CHOC012, Choctaw - Durant Casino Resort, 2016-2, 2016-3, 1147, 1207, 60, 0.05231037489102005, 0.2275, 0.2610111529630088, 0.2145138888888889, 0.2426362473620418, 361.2641621439201, 308.3199141549897, 360.9913900245075, 273.5854896985698, 353.94965731219486, 302.4618941063475, 357.50426666982383, 271.24654228535235, -0.0007550489309369322, -0.11265709044975672, 0.010042697553719336, -0.10320424631745384, -0.014434018729744353, -2.153628045764516, 0.19198290156860132, -1.972921175435326
CREE007, Creek Nation Casino - Muscogee Bingo, 2013-11, 2014-1, 105, 152, 47, 0.44761904761904764, 0.22527777777777777, 0.22806732044246403, 0.22020833333333334, 0.23261585355690698, 219.16596370815813, 199.21032372530246, 236.42286396851307, 204.9396100478798, 212.8777880571909, 199.4193847180565, 227.0193751755125, 197.20579095306792, 0.07873896096080989, 0.02875998700989832, 0.06643054330554374, -0.011100193534937512, 0.1759061893805327, 0.06425103480934731, 0.14840866057621474, -0.02479830470571146
CREE012, Creek Nation Casino - River Spirit, 2014-3, 2014-6, 779, 891, 112, 0.14377406931964057, 0.21388888888888888, 0.21658737739059758, 0.19694444444444445, 0.21195479421982918, 291.26745029882375, 257.6833417601992, 283.61634884384233, 244.04722403363076, 290.82160299883435, 257.30594832727564, 284.219722479186, 243.83863710656206, -0.02626830236997585, -0.052918118933967605, -0.022700791315268407, -0.05233968086732329, -0.18270542451974273, -0.3680644165139354, -0.1578921110231615, -0.36404117317540036
