customernumber, customername, starttime, endtime, beginfootprint, afterfootprint, deltaptcount, %EGMchange, preUtilization, adjpreUtilization, postUtilization, adjpostUtilization, preTheoWin, preTheoWPUPD, adjpreTheoWPUPD, postTheoWin, postTheoWPUPD, adjpostTheoWPUPD, preActualWPUPD, adjpreActualWPUPD, postActualWPUPD, adjpostActualWPUPD, %TheoWchange, adj%TheoWchange, %ActualWchange, adj%ActualWchange, DFtheo, adjDFtheo, DFactual, adjDFactual
ABSE001, Absentee Shawnee-Thunderbird, 2015-4, 2015-5, 22, 94, 72, 3.272727272727273, 0.01423611111111111, 0.01137095612722469, 0.0792361111111111, 0.11694121806756638, 57048.6415223, 14.90688307350405, 13.00204061622681, 1485771.3138680002, 86.52290437153506, 85.82519207046353, 16.240073164358506, 13.828822999738698, 88.10584963894713, 87.86979772932682, 4.804225064683275, 5.600901704871769, 4.4252126050952665, 5.354105315469521, 1.467957658653223, 1.7113866320441515, 1.3521482960013314, 1.6359766241712426
ABSE001, Absentee Shawnee-Thunderbird, 2015-11, 2016-1, 94, 96, 2, 0.02127659574468085, 0.08083333333333333, 0.1129393107953268, 0.0817361111111111, 0.08636990701943889, 1534989.032275, 88.74820954411425, 86.80942617084874, 1567101.792398, 89.77953551406473, 82.70356800343741, 89.61326376040705, 88.37043578353375, 93.20605098825553, 83.95382922749928, 0.011620808749249681, -0.04729737712274045, 0.04009213677848258, -0.04997832721854045, 0.5461780112147351, -2.2229767247688015, 1.8843304285886813, -2.348981379271401
ABSE002, Absentee Shawnee - Thunderbird Shawnee Casino, 2014-5, 2014-5, 40, 41, 1, 0.025, 0.03763888888888889, 0.045492891038436685, 0.03090277777777778, 0.04756572945119314, 234789.40167300001, 32.69592002130623, 31.01430132587383, 207854.00752989997, 27.899866782536908, 28.045883586926173, 33.478578192452304, 30.952751351799193, 25.00306308724833, 25.644576957852347, -0.14668659684890295, -0.09571125616398267, -0.2531623373155903, -0.17149281282351325, -5.867463873956118, -3.8284502465593064, -10.126493492623611, -6.85971251294053
BKFT002, "Blackfeet Nation-Glacier Lil Peaks Casino", 2015-3, 2015-3, 11, 13, 2, 0.18181818181818182, 0.1790972222222222, 0.29946504779832445, 0.13347222222222221, 0.218747011303544, 196732.7594253, 97.82832393102933, 100.9617775966186, 175627.5814297, 73.51510315182084, 75.73920528480535, 86.75274490303332, 84.29021093569865, 81.0967434072834, 82.26413006655505, -0.24852946265694725, -0.24982298164942376, -0.06519680157753897, -0.02403696522588142, -1.36691204461321, -1.3740263990718307, -0.35858240867646435, -0.1322033087423478
CAFIR01, Fort Independence, 2015-10, 2015-10, 27, 35, 8, 0.2962962962962963, 0.03743055555555556, 0.05448447793249857, 0.03298611111111111, 0.04120215216264539, 126049.32588430001, 25.119435210103628, 25.071754860223198, 152333.92338229998, 23.944345077381325, 23.096078531640995, 29.934984057393383, 28.714070375348744, 20.8454605469978, 18.915854655776013, -0.046780117582008944, -0.07880087930010238, -0.3036421697425505, -0.3412339522572382, -0.1578828968392802, -0.26595296763784554, -1.024792322881108, -1.151664588868179
CHER002, Cherokee - Hard Rock Casino - Tulsa, 2015-3, 2015-8, 875, 895, 20, 0.022857142857142857, 0.23430555555555554, 0.32655261390972046, 0.2375, 0.33473279091838043, 47824154.4799, 297.2641547472977, 290.274427525811, 50919409.71331, 311.1273285224336, 306.0910385900123, 294.50117465704466, 289.49546181090375, 311.9061684213099, 308.66438608856106, 0.046635874368777676, 0.05448847560915406, 0.059099912876523844, 0.06621493876880981, 2.040319503634023, 2.38387080790049, 2.5856211883479183, 2.896903571135429
CHER007, Cherokee Casino - Tahlequah, 2015-7, 2015-7, 138, 146, 8, 0.057971014492753624, 0.24965277777777778, 0.30926643340522697, 0.21729166666666666, 0.3482202162154686, 6557679.5529, 261.91954119503134, 249.99644752366495, 6222735.50677, 229.51113881791022, 232.90380508818646, 252.24450852737948, 241.73746035032153, 220.65086784937117, 221.9588543736584, -0.12373419039012853, -0.06837154129504375, -0.1252500633708703, -0.08181853961732011, -2.134414784229717, -1.1794090873395047, -2.1605635931475127, -1.4113698083987718
CHER007, Cherokee Casino - Tahlequah, 2015-12, 2016-3, 146, 150, 4, 0.0273972602739726, 0.22493055555555555, 0.36119686621559705, 0.20215277777777776, 0.288810396211898, 6303892.60087, 238.50374941810753, 242.20337950096476, 6034292.780706, 217.70303704112848, 214.1839719072444, 217.88717528659527, 216.89881022492528, 222.80540226567575, 219.6198693786348, -0.08721335588110395, -0.11568545266152552, 0.022572356416165184, 0.012545293129490959, -3.183287489660294, -4.222519022145682, 0.8238910091900292, 0.45790319922642003
CHER008, Cherokee Casino - Sallisaw, 2015-9, 2015-9, 100, 104, 4, 0.04, 0.2890277777777778, 0.3862875799583153, 0.2786111111111111, 0.38558804280370595, 5580873.45101, 302.7817627501085, 292.6927595387913, 5803712.796328999, 298.6370688653391, 293.35603855675623, 301.054839952257, 293.92601824842666, 305.9507188432644, 300.5593079642894, -0.013688717071741597, 0.0022661271806317003, 0.016262415484779455, 0.022567888870104358, -0.3422179267935399, 0.056653179515792504, 0.4065603871194864, 0.5641972217526089
CHER008, Cherokee Casino - Sallisaw, 2016-3, 2016-4, 104, 110, 6, 0.057692307692307696, 0.2763888888888889, 0.4138733001562646, 0.23104166666666667, 0.36046772883281236, 5623370.056574, 295.09708525262386, 295.55943082829555, 5230412.29719, 258.1644766628825, 260.1979110860809, 305.3743860201511, 307.86081149805835, 242.5072936821323, 244.5768644012833, -0.12515409482314752, -0.11964267099552578, -0.20586891113346462, -0.20556025558704205, -2.1693376436012235, -2.0738062972557803, -3.56839445964672, -3.5630444301753954
