customernumber,customername,denom,paytableseries,year,month,beginfootprint,deltaptcount,trainset,gamesPlayed,ActualWin,TheoWin,MachineDays,GamesPlayedAdj,ActualWinAdj,TheoWinAdj
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2014,2,27,0,CTRL,291042,30345,23348.4918257,293,147737.494145,21759.0989686,19230.1910248
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2014,2,26,0,CTRL,443923,49321,34766.8867398,286,226283.3022,41669.41913,28506.1360865
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2014,3,27,-1,TRMT,779788,42824,62341.9101971,806,553365.085282,39373.4385287,51970.8861692
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2014,3,26,0,CTRL,1245994,116917,96555.173465,806,910811.046367,101593.844797,81067.3054066
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2014,4,26,0,TRAIN,665271,52148,53588.4644024,780,670145.543026,48699.9559168,48423.5791876
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2014,4,26,0,CTRL,1068875,87873,83190.1956547,780,1138588.7416,77648.859136,76116.4038104
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2014,5,26,0,CTRL,757742,40782,60801.3565409,806,838004.770049,37812.9586431,55994.7921819
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2014,5,26,0,CTRL,1282317,93662,100014.665472,806,1505995.3166,80459.4218666,93814.0425871
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2014,6,26,0,CTRL,640876,39632,50824.8500289,780,796869.662869,39944.7571735,47972.6612535
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2014,6,26,0,CTRL,1031070,108862,78731.8197591,780,1332539.97468,107888.915447,74672.0817825
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2014,7,26,0,CTRL,687496,47032,55151.2412595,806,855304.651256,47921.5037281,53667.8392589
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2014,7,26,0,CTRL,1103454,97871,84947.7016658,806,1351293.40115,96888.0745688,82183.7044633
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2014,8,26,0,CTRL,602319,50950,49170.1858375,806,633553.928791,45180.6398661,44806.4406103
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2014,8,26,0,CTRL,974822,71475,77201.7790876,796,1060862.65945,62298.7451283,70746.0154774
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2014,9,26,0,CTRL,600671,54224,50487.5812066,780,839759.561494,55762.2044362,49728.8225677
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2014,9,26,-2,TRMT,906221,90891,74374.2361926,720,1268881.05534,89835.9044751,73277.4154709
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2014,10,26,0,CTRL,679821,54719,57483.1027585,829,937354.8233,51276.4297555,55674.3606157
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2014,10,24,3,TRMT,1038156,88292,85496.3554242,814,1450446.43964,80179.643642,82880.813642
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2014,11,26,0,CTRL,700094,47990,59089.6743356,780,968345.985248,44233.2419227,57955.1887965
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2014,11,27,0,TRAIN,1049762,79276,87956.0853416,766,1482769.45507,80885.7191815,86431.3910011
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2014,12,26,0,CTRL,705629,50436,58796.3116915,806,931511.585088,51917.9454502,57349.8137064
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2014,12,27,0,CTRL,1147436,102271,94104.3939882,785,1536735.18309,96152.7729338,91654.7163349
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2015,1,26,0,CTRL,686181,74748,57071.035246,806,750222.050324,61812.9659954,52897.9345684
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2015,1,27,0,CTRL,1093972,106182,91476.4534873,787,1245500.74578,95129.6347031,85451.0907695
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2015,2,26,0,CTRL,677564,50047,56783.387119,728,474727.774302,48701.674314,49115.1749199
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2015,2,27,0,CTRL,1087688,96104,89582.3346859,711,779741.001457,83513.7151877,77875.9399651
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2015,3,26,0,CTRL,629109,46858,52559.790757,806,481040.49607,41711.5509923,44296.1771924
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2015,3,27,0,CTRL,1045518,91391,86201.2009072,795,869257.845872,84458.2697534,74137.6461208
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2015,4,26,-2,TRMT,513433,18272,43737.8291382,736,500445.147285,15348.4842893,39253.6725952
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2015,4,27,0,CTRL,940156,88390,77359.2615988,765,963971.50253,79742.257,70300.0370302
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2015,5,24,0,TRAIN,603705,51162,51485.4408317,744,642168.371233,44596.9409671,47262.0122017
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2015,5,27,0,CTRL,1058907,99738,87946.7384807,792,1122324.74786,90523.5675135,80862.8509208
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2015,6,24,0,CTRL,425454,32266,36601.6082125,650,517062.652521,30972.1497037,34073.6337137
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2015,6,27,3,TRMT,821838,64039,68940.1195711,819,1042528.95077,61767.7769791,64936.650901
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2015,7,24,0,CTRL,434907,26070,36951.2613759,635,492842.22129,24755.9946768,35005.594186
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2015,7,30,0,TRAIN,846696,83846,68897.6616824,872,941099.978083,78908.0641769,65013.0964076
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2015,8,24,-3,TRMT,352890,36095,29903.119796,538,422553.667685,35467.275592,27984.5915075
7CLA001,7 Clans - Paradise Casino,$1.00,M37WAP,2015,8,2,0,CTRL,38821,-4903.14,4467.60017786,36,50314.400777,-4063.43294177,4256.35689113
7CLA001,7 Clans - Paradise Casino,$1.00,M38WAP,2015,8,6,0,CTRL,129618,17352.47,15239.8219546,108,143864.607437,15525.809395,13835.9855366
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2015,8,30,-5,TRMT,774827,73216,63653.8137146,779,953555.901702,71001.5685927,59788.2804579
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2015,9,21,-3,TRMT,340639,39967,28592.444206,442,484091.126082,33909.4983934,28137.2700316
7CLA001,7 Clans - Paradise Casino,$1.00,M37WAP,2015,9,2,0,CTRL,55514,8347.78,6178.31399747,60,82623.5048505,7714.50253884,6188.32780858
7CLA001,7 Clans - Paradise Casino,$1.00,M38WAP,2015,9,6,0,CTRL,199201,20535.96,21759.0653094,180,313053.111796,18770.2677836,22043.7645845
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2015,9,25,0,TRAIN,683200,68084,55273.6521469,684,1016677.97061,68100.9694904,54846.9310367
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2015,10,18,0,TRAIN,341879,16650,28797.6543381,451,460560.935822,15666.9047975,27709.5824659
7CLA001,7 Clans - Paradise Casino,$1.00,M38WAP,2015,10,6,0,CTRL,180172,21162.22,19435.041739,186,247339.733275,20035.1346106,18606.9186578
7CLA001,7 Clans - Paradise Casino,$1.00,M37WAP,2015,10,2,0,CTRL,37216,2675.88,4117.37577696,62,44218.4799208,3039.47511205,3847.59127004
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2015,10,25,0,CTRL,727471,67970,58955.8745845,712,981335.314951,58982.5530114,56680.1662841
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2015,11,18,0,CTRL,269024,32448,22816.872505,439,407203.131924,33729.6591702,23120.8090562
7CLA001,7 Clans - Paradise Casino,$1.00,M37WAP,2015,11,2,0,CTRL,38105,-335.12,4342.75827327,60,56419.8920869,-764.291582744,4411.89293477
7CLA001,7 Clans - Paradise Casino,$1.00,M38WAP,2015,11,6,0,CTRL,168260,16667.18,18415.0320156,180,255536.971087,16598.0937182,18536.5553874
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2015,11,25,0,CTRL,681657,58017,55475.5511738,685,1073555.91925,61311.5879855,56621.8404217
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2015,12,18,0,CTRL,346211,16044,28935.0066799,457,426277.326552,17288.2587303,27772.0767804
7CLA001,7 Clans - Paradise Casino,$1.00,M37WAP,2015,12,2,0,CTRL,37670,3874.89,4125.77497244,62,46930.7968339,3942.9063135,3915.9917104
7CLA001,7 Clans - Paradise Casino,$1.00,M38WAP,2015,12,6,0,CTRL,175619,18006.2,19210.5187376,186,223097.763383,17566.8837716,18703.4624324
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2015,12,25,0,CTRL,818069,71442,66467.3578149,713,1107996.10239,71460.5149129,65188.5355919
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2016,1,18,0,CTRL,340972,38007,28561.4635686,452,330079.359528,31904.4199292,25402.7309651
7CLA001,7 Clans - Paradise Casino,$1.00,M37WAP,2016,1,2,0,CTRL,36796,3422.73,3973.35726528,62,40027.2178301,1670.775587,3623.62335034
7CLA001,7 Clans - Paradise Casino,$1.00,M38WAP,2016,1,6,0,CTRL,176372,17353.84,20513.1925888,186,178649.718162,13490.6464889,18469.3477898
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2016,1,25,0,CTRL,816130,52232,67315.8523188,715,848759.774163,40037.9134815,60844.3077325
