customernumber,customername,year,month,beginfootprint,deltaptcount,trainset,gamesPlayed,ActualWin,TheoWin,MachineDays,GamesPlayedAdj,ActualWinAdj,TheoWinAdj
7CLA001,7 Clans - Paradise Casino,2014,2,232,0,CTRL,2960168,370147.38,295728.552422,2579,1525743.37462,315148.352459,243123.475566
7CLA001,7 Clans - Paradise Casino,2014,3,232,0,CTRL,7771049,758946.3,779343.214306,7279,5812025.0275,631899.36125,656561.041392
7CLA001,7 Clans - Paradise Casino,2014,4,232,0,CTRL,6801928,768626.58,698152.023233,6985,7178834.96451,728257.405732,636831.088677
7CLA001,7 Clans - Paradise Casino,2014,5,232,0,CTRL,7786191,719998.72,756855.521706,7196,9008399.9175,649097.981313,702870.725471
7CLA001,7 Clans - Paradise Casino,2014,6,232,0,CTRL,6881474,540455.03,695981.024699,6963,9174776.7436,518761.133874,662298.681664
7CLA001,7 Clans - Paradise Casino,2014,7,232,0,CTRL,7206036,888905.18,719787.66026,7195,9055270.75764,872096.750722,698842.214848
7CLA001,7 Clans - Paradise Casino,2014,8,232,0,CTRL,6368742,626120.17,643401.872129,7202,6958167.96749,577387.90189,585477.059626
7CLA001,7 Clans - Paradise Casino,2014,9,232,0,CTRL,6396265,629766.06,693984.167471,6980,9292573.92643,618357.930001,683189.402905
7CLA001,7 Clans - Paradise Casino,2014,10,232,0,CTRL,6822491,705611.77,728775.909203,7371,9606943.12944,694474.555619,705319.367918
7CLA001,7 Clans - Paradise Casino,2014,11,232,0,CTRL,6893253,707649.13,747897.475973,6964,9853482.38423,666562.426798,739633.477116
7CLA001,7 Clans - Paradise Casino,2014,12,232,0,CTRL,7597466,846624.7,858681.021863,7202,10418446.6682,872006.221779,845482.76454
7CLA001,7 Clans - Paradise Casino,2015,1,232,0,CTRL,7026468,680373.38,760297.711113,7193,8043527.31939,621236.075394,708121.757377
7CLA001,7 Clans - Paradise Casino,2015,2,232,-3,TRMT,7039969,754609.88,775425.994695,6431,5115671.65707,678261.703005,668512.18471
7CLA001,7 Clans - Paradise Casino,2015,3,229,0,TRAIN,6866258,696175.76,755040.320608,7120,5615212.99056,600629.655744,648573.171924
7CLA001,7 Clans - Paradise Casino,2015,4,229,-4,TRMT,6201142,786328.82,692042.267028,6792,6543864.24022,731421.063882,634557.094077
7CLA001,7 Clans - Paradise Casino,2015,5,225,0,TRAIN,6857621,874860.18,749790.125483,6989,7457195.98102,791273.717076,690995.370999
7CLA001,7 Clans - Paradise Casino,2015,6,225,-3,TRMT,5185161,512449.25,577551.692096,6668,6703232.00749,486852.289911,544355.080974
7CLA001,7 Clans - Paradise Casino,2015,7,222,3,TRMT,5565221,645031.91,636246.881617,6976,6387147.04523,645066.580511,597618.849672
7CLA001,7 Clans - Paradise Casino,2015,8,225,0,TRAIN,5348875,613136.32,606869.435618,6813,6617062.37828,581565.425444,571108.281591
7CLA001,7 Clans - Paradise Casino,2015,9,225,-12,TRMT,5225519,619843.05,588873.093402,6393,7512417.67827,568884.625706,570548.552283
7CLA001,7 Clans - Paradise Casino,2015,10,213,-8,TRMT,5404580,703501.36,589753.285729,6421,7279901.78575,666269.347679,553615.487251
7CLA001,7 Clans - Paradise Casino,2015,11,205,-6,TRMT,5004909,440755.85,580066.090696,5977,7823945.36037,386150.868016,586065.065004
7CLA001,7 Clans - Paradise Casino,2015,12,199,6,TRMT,5716841,554422.99,668161.60648,6355,7841177.0902,536437.042121,657570.569822
7CLA001,7 Clans - Paradise Casino,2016,1,205,0,TRAIN,5591672,534681.83,640604.508225,6355,6149062.29054,540174.21317,587322.578848
7CLA001,7 Clans - Paradise Casino,2016,2,205,0,CTRL,5506568,596048.86,601438.695878,5945,3861438.14526,518561.58581,513235.49313
7CLA001,7 Clans - Paradise Casino,2016,3,205,0,CTRL,4981102,616850.35,614458.801221,6355,4450933.86182,509399.144076,532122.820665
7CLA001,7 Clans - Paradise Casino,2016,4,205,0,CTRL,4875191,622481.51,600791.265674,6157,3947693.98853,538639.292026,512560.950712
7CLA001,7 Clans - Paradise Casino,2016,5,205,-20,TRMT,4262340,623121.41,521490.208248,5960,4674296.08788,587184.403162,480633.924675
7CLA001,7 Clans - Paradise Casino,2016,6,185,0,TRAIN,3666257,339585.72,480795.92848,5550,4831462.31244,316984.120082,461305.744205
7CLA001,7 Clans - Paradise Casino,2016,7,185,0,CTRL,4384692,779604.99,557775.294975,5711,4066309.03237,710319.999562,502352.482109
7CLA001,7 Clans - Paradise Casino,2016,8,185,-6,TRMT,4194482,486723.26,563645.874831,5549,5116733.31214,445418.40131,526870.033979
7CLA001,7 Clans - Paradise Casino,2016,9,179,0,TRAIN,3826843,571960.52,498146.252483,5375,4672059.59236,530667.389581,479097.173671
7CLA001,7 Clans - Paradise Casino,2016,10,179,0,CTRL,3504129,629942.05,435882.818068,5549,4942986.7894,608175.048798,420947.184904
7CLA001,7 Clans - Paradise Casino,2016,11,179,0,CTRL,217196,42005.19,28799.3716386,1609,549972.702496,51396.4969746,34969.3022985
7CLA002,7 Clans - Chilocco,2013,7,168,0,CTRL,5209628,309675,388331.999972,3864,6838692.20957,297349.638799,378140.81898
7CLA002,7 Clans - Chilocco,2013,8,168,0,CTRL,7667513,595703.24,554381.595186,5211,8426593.04019,581102.44172,510626.399589
7CLA002,7 Clans - Chilocco,2013,9,168,0,CTRL,7766091,539797.35,562964.997903,5041,11023054.3699,526980.915688,559306.544711
7CLA002,7 Clans - Chilocco,2013,10,168,0,CTRL,7544244,594665.79,547825.04747,5214,11100278.4549,588069.063303,537179.583776
7CLA002,7 Clans - Chilocco,2013,11,168,0,CTRL,7476889,569629.51,570802.506083,5040,9137042.45532,556739.559214,540280.459945
7CLA002,7 Clans - Chilocco,2013,12,168,0,CTRL,6809388,439931.44,536920.715615,5208,9732727.55006,448927.943984,541777.414804
7CLA002,7 Clans - Chilocco,2014,1,168,0,CTRL,6650557,590615.93,509987.868355,5217,8581660.72079,555777.220527,490616.367173
7CLA002,7 Clans - Chilocco,2014,2,168,0,CTRL,7735052,586220.45,627592.491641,4704,4649030.60972,510250.53276,536193.600083
7CLA002,7 Clans - Chilocco,2014,3,168,0,CTRL,8643840,648194.88,683494.936726,5212,6755470.72403,542912.697918,588411.863609
7CLA002,7 Clans - Chilocco,2014,4,168,0,CTRL,6827156,564766.88,537356.201344,5032,7130354.51818,499189.325209,494373.443789
7CLA002,7 Clans - Chilocco,2014,5,168,0,CTRL,8051065,780077.69,631667.250637,5209,8864887.51475,732407.871158,581740.207456
7CLA002,7 Clans - Chilocco,2014,6,168,0,CTRL,7302196,547202.73,563008.819627,5040,9660411.71749,526756.551998,537771.608071
7CLA002,7 Clans - Chilocco,2014,7,168,0,CTRL,8053957,614153.66,632087.383534,5208,9904184.06772,564446.800223,610799.831248
7CLA002,7 Clans - Chilocco,2014,8,168,0,CTRL,8051580,649351.74,676454.473809,5218,8484975.19385,582271.031075,615721.70515
7CLA002,7 Clans - Chilocco,2014,9,168,0,CTRL,6404071,623459.64,543601.817273,5040,9409611.07581,613044.541681,541298.512303
7CLA002,7 Clans - Chilocco,2014,10,168,0,CTRL,6494757,523026.31,561177.511229,5208,8687745.26423,494933.959125,537697.596113
7CLA002,7 Clans - Chilocco,2014,11,168,0,CTRL,6790644,494893.17,574529.389012,5040,9092309.53141,486692.059496,559153.897647
7CLA002,7 Clans - Chilocco,2014,12,168,0,CTRL,7304057,666446.15,625043.917109,5208,9340228.01215,650626.236998,605604.550224
7CLA002,7 Clans - Chilocco,2015,1,168,0,CTRL,6809353,635519.12,582568.020495,5208,7685687.90494,593269.396622,542279.162708
7CLA002,7 Clans - Chilocco,2015,2,168,0,CTRL,6512990,557701.48,570694.362871,4704,4646865.70179,453411.019068,498222.636467
7CLA002,7 Clans - Chilocco,2015,3,168,0,CTRL,7032007,531907.56,611667.319972,5208,5878934.51249,442937.540498,531706.654644
7CLA002,7 Clans - Chilocco,2015,4,168,0,CTRL,6322100,576181.47,545417.772835,5040,6820402.20808,527690.409685,504810.18572
7CLA002,7 Clans - Chilocco,2015,5,168,0,CTRL,6964745,632128.21,611148.032873,5208,7705111.12238,600067.627186,568128.298737
7CLA002,7 Clans - Chilocco,2015,6,168,0,CTRL,6208690,539359.24,546134.774713,5040,8792128.69812,532409.506903,531056.181864
7CLA002,7 Clans - Chilocco,2015,7,168,0,CTRL,6825171,574298.29,624625.878258,5208,8200428.84764,518392.377289,600373.82409
7CLA002,7 Clans - Chilocco,2015,8,168,0,CTRL,6797143,418803.63,637037.38642,5040,8747530.40569,429365.349148,604970.746437
